math_score,reading_score,writing_score
88.0,85.0,
95.0,98.0,100.0
30.0,35.0,32.0
,70.0,68.0
200.0,180.0,90.0
88.0,85.0,
120.0,110.0,115.0
60.0,58.0,55.0
88.0,85.0,
30.0,35.0,32.0
30.0,35.0,32.0
,70.0,68.0
200.0,180.0,90.0
95.0,98.0,100.0
,70.0,68.0
,70.0,68.0
60.0,58.0,55.0
78.0,,75.0
200.0,180.0,90.0
85.0,90.0,88.0
,70.0,68.0
78.0,,75.0
85.0,90.0,88.0
200.0,180.0,90.0
72.0,65.0,70.0
120.0,110.0,115.0
78.0,,75.0
66.0,64.0,62.0
72.0,65.0,70.0
30.0,35.0,32.0
30.0,35.0,32.0
120.0,110.0,115.0
60.0,58.0,55.0
88.0,85.0,
95.0,98.0,100.0
66.0,64.0,62.0
60.0,58.0,55.0
200.0,180.0,90.0
60.0,58.0,55.0
88.0,85.0,
200.0,180.0,90.0
66.0,64.0,62.0
88.0,85.0,
85.0,90.0,88.0
95.0,98.0,100.0
66.0,64.0,62.0
85.0,90.0,88.0
120.0,110.0,115.0
66.0,64.0,62.0
120.0,110.0,115.0
200.0,180.0,90.0
85.0,90.0,88.0
95.0,98.0,100.0
88.0,85.0,
,70.0,68.0
60.0,58.0,55.0
72.0,65.0,70.0
95.0,98.0,100.0
85.0,90.0,88.0
,70.0,68.0
95.0,98.0,100.0
85.0,90.0,88.0
78.0,,75.0
78.0,,75.0
120.0,110.0,115.0
95.0,98.0,100.0
78.0,,75.0
85.0,90.0,88.0
120.0,110.0,115.0
85.0,90.0,88.0
120.0,110.0,115.0
95.0,98.0,100.0
,70.0,68.0
88.0,85.0,
66.0,64.0,62.0
,70.0,68.0
200.0,180.0,90.0
85.0,90.0,88.0
200.0,180.0,90.0
,70.0,68.0
120.0,110.0,115.0
66.0,64.0,62.0
66.0,64.0,62.0
72.0,65.0,70.0
66.0,64.0,62.0
88.0,85.0,
66.0,64.0,62.0
,70.0,68.0
72.0,65.0,70.0
,70.0,68.0
,70.0,68.0
30.0,35.0,32.0
60.0,58.0,55.0
72.0,65.0,70.0
,70.0,68.0
60.0,58.0,55.0
60.0,58.0,55.0
72.0,65.0,70.0
30.0,35.0,32.0
200.0,180.0,90.0
